video-id,t-start,t-end,score,label
video_validation_0000365,18.9,36.8,0.039018366,HighJump
video_validation_0000365,67.1,88.8,0.43689466,HighJump
video_validation_0000365,111.5,123.5,0.16431028,HighJump
video_validation_0000365,139.8,144.1,0.0012218615,HighJump
video_validation_0000365,144.9,156.0,0.2615691,HighJump
video_validation_0000365,158.1,158.5,0.001087865,HighJump
video_validation_0000365,162.9,166.1,0.0032773104,HighJump
video_validation_0000365,175.1,176.8,0.009497667,HighJump
video_validation_0000365,190.0,237.5,0.51502776,HighJump
video_validation_0000365,241.1,247.4,0.0035873065,HighJump
video_validation_0000365,255.1,257.5,0.00867654,HighJump
video_validation_0000664,0.0,10.8,0.20565738,PoleVault
video_validation_0000664,16.3,16.8,0.015375359,PoleVault
video_validation_0000664,17.7,30.2,0.42347342,PoleVault
video_validation_0000664,34.0,39.0,0.9919991,PoleVault
video_validation_0000664,44.1,52.7,0.9629771,PoleVault
video_validation_0000664,54.6,60.3,0.9416758,PoleVault
video_validation_0000664,62.2,69.0,0.9988714,PoleVault
video_validation_0000664,72.4,82.1,0.8765248,PoleVault
video_validation_0000664,84.9,98.3,0.9946801,PoleVault
video_validation_0000664,99.9,105.7,0.97009045,PoleVault
video_validation_0000664,109.4,114.1,0.9988557,PoleVault
video_validation_0000664,204.6,204.7,0.0044263666,PoleVault
video_validation_0000489,3.2,14.5,0.002362308,LongJump
video_validation_0000489,23.3,35.2,0.32387212,LongJump
video_validation_0000489,46.1,46.9,0.00022375921,LongJump
video_validation_0000489,48.6,48.8,7.662931e-05,LongJump
video_validation_0000489,55.3,55.3,0.12777184,LongJump
video_validation_0000489,63.4,63.5,0.0014095956,LongJump
video_validation_0000489,68.8,69.8,0.15038963,LongJump
video_validation_0000489,84.8,86.1,0.08111372,LongJump
video_validation_0000489,90.0,99.4,0.00030686904,LongJump
video_validation_0000489,101.4,102.3,0.30020422,LongJump
video_validation_0000489,109.4,136.0,0.009674186,LongJump
video_validation_0000489,161.6,170.2,0.005815393,LongJump
video_validation_0000489,179.6,201.9,0.3972466,LongJump
video_validation_0000931,11.1,11.6,0.8874003,TennisSwing
video_validation_0000931,19.5,81.0,0.9994998,TennisSwing
video_validation_0000163,18.5,20.7,0.21025875,CliffDiving
video_validation_0000163,26.8,31.4,0.003843691,CliffDiving
video_validation_0000163,35.4,35.9,0.26268923,CliffDiving
video_validation_0000163,37.2,39.8,1.3125909e-05,CliffDiving
video_validation_0000163,40.7,40.9,5.8412604e-07,CliffDiving
video_validation_0000163,48.0,51.4,0.12681946,CliffDiving
video_validation_0000163,53.2,58.1,0.0010300799,CliffDiving
video_validation_0000163,79.3,86.2,0.10373752,CliffDiving
video_validation_0000163,88.6,92.7,0.0042113117,CliffDiving
video_validation_0000163,93.7,101.5,0.07502557,CliffDiving
video_validation_0000163,103.8,109.1,1.1528247e-05,CliffDiving
video_validation_0000163,116.5,121.1,0.2643912,CliffDiving
video_validation_0000163,125.4,150.2,0.08124243,CliffDiving
video_validation_0000163,152.3,158.1,0.0029622987,CliffDiving
video_validation_0000163,160.9,165.2,0.88009685,CliffDiving
video_validation_0000163,167.3,169.3,0.603986,CliffDiving
video_validation_0000163,170.5,180.5,0.23186821,CliffDiving
video_validation_0000163,189.4,198.5,0.55091774,CliffDiving
video_validation_0000163,199.8,201.7,0.7888076,CliffDiving
video_validation_0000163,208.4,208.5,0.38345027,CliffDiving
video_validation_0000163,214.0,215.3,4.0346968e-06,CliffDiving
video_validation_0000163,216.0,216.1,1.3484903e-07,CliffDiving
video_validation_0000163,226.7,233.8,0.9902654,CliffDiving
video_validation_0000369,0.0,5.2,0.0038981005,HighJump
video_validation_0000369,13.1,13.7,0.1858553,HighJump
video_validation_0000369,17.1,25.6,0.083751984,HighJump
video_validation_0000369,26.5,30.6,0.041484833,HighJump
video_validation_0000369,38.5,40.1,0.052155644,HighJump
video_validation_0000369,48.9,52.8,0.061350986,HighJump
video_validation_0000369,62.0,66.6,0.21674296,HighJump
video_validation_0000369,73.7,78.5,0.024157017,HighJump
video_validation_0000369,89.2,91.8,0.08937229,HighJump
video_validation_0000369,101.4,106.9,0.055979524,HighJump
video_validation_0000369,113.4,118.9,0.025492981,HighJump
video_validation_0000369,131.6,133.3,0.0017901772,HighJump
video_validation_0000369,140.0,144.9,0.04086703,HighJump
video_validation_0000369,146.0,154.1,0.059825037,HighJump
video_validation_0000369,160.9,168.5,0.029742563,HighJump
video_validation_0000369,171.5,179.4,0.057282154,HighJump
video_validation_0000369,195.1,195.2,0.0037043295,HighJump
video_validation_0000369,205.1,212.2,0.0031955151,HighJump
video_validation_0000369,218.2,226.0,0.0022761477,HighJump
video_validation_0000369,228.4,236.8,0.3681112,HighJump
video_validation_0000369,241.3,242.6,3.1528526e-07,HighJump
video_validation_0000369,249.9,273.2,0.026240988,HighJump
video_validation_0000369,278.3,278.9,0.05687796,HighJump
video_validation_0000369,285.9,296.4,0.021600187,HighJump
video_validation_0000369,298.4,310.5,0.016244484,HighJump
video_validation_0000369,314.9,320.1,0.0068297978,HighJump
video_validation_0000369,334.3,345.2,0.002709049,HighJump
video_validation_0000369,347.2,347.8,0.00017764424,HighJump
video_validation_0000369,349.3,358.9,0.050563306,HighJump
video_validation_0000369,360.7,361.0,0.00014704729,HighJump
video_validation_0000369,363.7,364.1,8.096911e-06,HighJump
video_validation_0000369,367.0,368.3,0.010502885,HighJump
video_validation_0000369,382.8,383.3,0.00056034856,HighJump
video_validation_0000369,384.8,389.6,0.004950568,HighJump
video_validation_0000369,390.9,397.6,0.008318908,HighJump
video_validation_0000369,398.7,399.1,0.00017565825,HighJump
video_validation_0000369,403.7,409.7,0.00073014444,HighJump
video_validation_0000369,419.3,428.6,0.01958407,HighJump
video_validation_0000369,429.9,439.8,0.20620745,HighJump
video_validation_0000369,443.8,450.4,0.09378112,HighJump
video_validation_0000369,457.4,464.9,0.07483362,HighJump
video_validation_0000369,466.8,480.1,0.007904625,HighJump
video_validation_0000369,486.0,487.0,0.0019122682,HighJump
video_validation_0000369,496.8,497.3,0.001438104,HighJump
video_validation_0000369,500.4,500.6,0.0036636342,HighJump
